"","CustomerID","recency","r_clus","frequency","f_clus","money_value","m_clus","score","value"
"1",12346,325,1,2,1,0,1,3,"low"
"2",12347,2,4,7,2,5468.17,1,7,"mid"
"3",12348,75,3,4,1,1797.24,1,5,"mid"
"4",12349,18,4,1,1,2079.46,1,6,"mid"
"5",12350,310,1,1,1,349.4,1,3,"low"
"6",12352,36,4,11,2,1585.46,1,7,"mid"
"7",12353,204,2,1,1,89,1,4,"low"
"8",12354,232,2,1,1,1268.88,1,4,"low"
"9",12355,214,2,1,1,510.4,1,4,"low"
"10",12356,22,4,3,1,3200.08,1,6,"mid"
"11",12357,33,4,1,1,6596.21,1,6,"mid"
"12",12358,1,4,2,1,1183.06,1,6,"mid"
"13",12359,7,4,6,1,7514.37,1,6,"mid"
"14",12360,52,3,3,1,3089.78,1,5,"mid"
"15",12361,287,1,1,1,189.9,1,3,"low"
"16",12362,3,4,13,2,5920.81,1,7,"mid"
"17",12363,109,3,2,1,777.48,1,5,"mid"
"18",12364,7,4,4,1,1370.85,1,6,"mid"
"19",12365,291,1,3,1,391.73,1,3,"low"
"20",12367,4,4,1,1,168.9,1,6,"mid"
"21",12370,51,3,4,1,4397.11,1,5,"mid"
"22",12371,44,4,2,1,2088.4,1,6,"mid"
"23",12372,71,3,3,1,1342.44,1,5,"mid"
"24",12373,311,1,1,1,462.1,1,3,"low"
"25",12374,25,4,1,1,812.35,1,6,"mid"
"26",12375,2,4,3,1,825.72,1,6,"mid"
"27",12377,315,1,2,1,1826.42,1,3,"low"
"28",12378,129,3,1,1,4715.84,1,5,"mid"
"29",12379,81,3,3,1,1041.31,1,5,"mid"
"30",12380,21,4,5,1,3942.4,1,6,"mid"
"31",12381,4,4,6,1,2160.78,1,6,"mid"
"32",12383,184,2,6,1,2002.93,1,4,"low"
"33",12384,28,4,3,1,641.04,1,6,"mid"
"34",12386,337,1,2,1,520.1,1,3,"low"
"35",12388,15,4,6,1,3176.3,1,6,"mid"
"36",12390,79,3,1,1,701.34,1,5,"mid"
"37",12391,21,4,1,1,616.48,1,6,"mid"
"38",12393,72,3,4,1,1917.6,1,5,"mid"
